v2_tier,current_holder,stolen_units_held
10000,0x19d266792b28a441cb0f6a3334ba617ef18b50ee,2
10000,0x67ecdd62f3317300f268e51ede299adb452a1836,1
10000,0x83579b40f0fabff795e4e708350d98127de9494c,4
10000,0xa37e105acc179d8251845e929ea6b9be6a5e7ea2,2
10000,0xd3e3182e19a5b49e18f48e7e9769e0f7e2baf0a7,2
10000,0xeea8403ee487b40edc543094b9cb4e96239bd816,1
10001,0x03a7c8b9fc330a8980b20adb0a80a2f7913efb19,1
10001,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,6
10002,0x83579b40f0fabff795e4e708350d98127de9494c,4
10002,0x9b68e1650aba0beb90da62447b9cfd94e9650789,1
10002,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
10002,0xd2ab77a10cab66433c167e9aa4cc3178fe133def,1
10003,0x67ecdd62f3317300f268e51ede299adb452a1836,1
10003,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,5
10004,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,6
10005,0x83579b40f0fabff795e4e708350d98127de9494c,3
10006,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,5
10007,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,4
10008,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
10008,0xd3e3182e19a5b49e18f48e7e9769e0f7e2baf0a7,2
10009,0x19d266792b28a441cb0f6a3334ba617ef18b50ee,1
10009,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
10009,0xd3e3182e19a5b49e18f48e7e9769e0f7e2baf0a7,4
10009,0xee8bfacaa886d7b59bbdaa34b287f910559e7da4,1
10010,0x03a7c8b9fc330a8980b20adb0a80a2f7913efb19,1
10010,0x83579b40f0fabff795e4e708350d98127de9494c,3
10011,0xa37e105acc179d8251845e929ea6b9be6a5e7ea2,2
10011,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,3
10012,0x03a7c8b9fc330a8980b20adb0a80a2f7913efb19,1
10012,0x19d266792b28a441cb0f6a3334ba617ef18b50ee,1
10012,0x83579b40f0fabff795e4e708350d98127de9494c,4
10013,0x19d266792b28a441cb0f6a3334ba617ef18b50ee,1
10013,0xa37e105acc179d8251845e929ea6b9be6a5e7ea2,1
10013,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
10013,0xdae477dd79e44b6952330931b74ee59f7bd91279,3
10014,0x03a7c8b9fc330a8980b20adb0a80a2f7913efb19,1
10014,0x83579b40f0fabff795e4e708350d98127de9494c,2
10015,0x83579b40f0fabff795e4e708350d98127de9494c,5
10016,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,7
10017,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,8
10017,0xcc41288ad740addb522b16b94597691f473898bf,1
10017,0xdae477dd79e44b6952330931b74ee59f7bd91279,1
10018,0x03a7c8b9fc330a8980b20adb0a80a2f7913efb19,1
10018,0x19d266792b28a441cb0f6a3334ba617ef18b50ee,1
10018,0x83579b40f0fabff795e4e708350d98127de9494c,5
10018,0xee8bfacaa886d7b59bbdaa34b287f910559e7da4,1
10019,0x83579b40f0fabff795e4e708350d98127de9494c,5
10019,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
10020,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,6
10021,0x83579b40f0fabff795e4e708350d98127de9494c,5
10022,0x83579b40f0fabff795e4e708350d98127de9494c,6
10022,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
10023,0x83579b40f0fabff795e4e708350d98127de9494c,6
10023,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
10024,0x83579b40f0fabff795e4e708350d98127de9494c,4
10024,0x9b68e1650aba0beb90da62447b9cfd94e9650789,1
10024,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
10024,0xd2ab77a10cab66433c167e9aa4cc3178fe133def,1
10024,0xd3e3182e19a5b49e18f48e7e9769e0f7e2baf0a7,1
10024,0xee8bfacaa886d7b59bbdaa34b287f910559e7da4,1
10025,0x03a7c8b9fc330a8980b20adb0a80a2f7913efb19,1
10025,0x83579b40f0fabff795e4e708350d98127de9494c,5
10026,0x83579b40f0fabff795e4e708350d98127de9494c,3
10027,0x83579b40f0fabff795e4e708350d98127de9494c,4
10027,0x9b68e1650aba0beb90da62447b9cfd94e9650789,2
10028,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,5
10029,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,6
10030,0x83579b40f0fabff795e4e708350d98127de9494c,7
10030,0x9b68e1650aba0beb90da62447b9cfd94e9650789,1
10031,0x89f690bdf5e6d838cb0d4cd4c3a8eb538dc5fdac,6
10031,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
10032,0x83579b40f0fabff795e4e708350d98127de9494c,5
10032,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
10033,0x83579b40f0fabff795e4e708350d98127de9494c,1
10033,0x9b68e1650aba0beb90da62447b9cfd94e9650789,1
10033,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
10033,0xd2ab77a10cab66433c167e9aa4cc3178fe133def,1
20000,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
20007,0x67ecdd62f3317300f268e51ede299adb452a1836,1
20007,0x83579b40f0fabff795e4e708350d98127de9494c,1
20011,0x83579b40f0fabff795e4e708350d98127de9494c,1
20016,0x67ecdd62f3317300f268e51ede299adb452a1836,1
20016,0xeea8403ee487b40edc543094b9cb4e96239bd816,1
20017,0xeea8403ee487b40edc543094b9cb4e96239bd816,1
20019,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
20028,0xeea8403ee487b40edc543094b9cb4e96239bd816,1
20029,0xeea8403ee487b40edc543094b9cb4e96239bd816,1
20030,0xeea8403ee487b40edc543094b9cb4e96239bd816,1
20031,0xeea8403ee487b40edc543094b9cb4e96239bd816,1
20033,0x67ecdd62f3317300f268e51ede299adb452a1836,1
20033,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
20037,0x83579b40f0fabff795e4e708350d98127de9494c,1
20040,0xeea8403ee487b40edc543094b9cb4e96239bd816,1
20042,0x83579b40f0fabff795e4e708350d98127de9494c,1
20043,0xeea8403ee487b40edc543094b9cb4e96239bd816,1
20044,0x67ecdd62f3317300f268e51ede299adb452a1836,1
20044,0xcece671093276b5ed7f155814e3caec805b09820,1
20045,0x67ecdd62f3317300f268e51ede299adb452a1836,1
20045,0xcece671093276b5ed7f155814e3caec805b09820,1
20052,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
20057,0x19d266792b28a441cb0f6a3334ba617ef18b50ee,1
20060,0x83579b40f0fabff795e4e708350d98127de9494c,1
20061,0xc14d994fe7c5858c93936cc3bd42bb9467d6fb2c,1
20062,0x19d266792b28a441cb0f6a3334ba617ef18b50ee,1
30002,0xd3e3182e19a5b49e18f48e7e9769e0f7e2baf0a7,1
30004,0xee8bfacaa886d7b59bbdaa34b287f910559e7da4,1
30008,0x98c89980d1eae247ada3636ae27648f78e66e121,1
30010,0x98c89980d1eae247ada3636ae27648f78e66e121,2
30010,0xcece671093276b5ed7f155814e3caec805b09820,1
30020,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,1
30022,0x98c89980d1eae247ada3636ae27648f78e66e121,1
30023,0x83579b40f0fabff795e4e708350d98127de9494c,1
30031,0x98c89980d1eae247ada3636ae27648f78e66e121,1
30032,0xcece671093276b5ed7f155814e3caec805b09820,1
30034,0xd3e3182e19a5b49e18f48e7e9769e0f7e2baf0a7,1
30036,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,1
30037,0xcece671093276b5ed7f155814e3caec805b09820,1
30040,0x98c89980d1eae247ada3636ae27648f78e66e121,1
30043,0x98c89980d1eae247ada3636ae27648f78e66e121,1
30050,0xee8bfacaa886d7b59bbdaa34b287f910559e7da4,1
30061,0xd3e3182e19a5b49e18f48e7e9769e0f7e2baf0a7,1
40000,0x7550c40e188b3da9349c9d7b941a699c2f62e0e3,24
60001,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,1
60001,0xd3e3182e19a5b49e18f48e7e9769e0f7e2baf0a7,1
