v2_tier,units_stolen,known_stakers_from_old_csv,staker_attribution_complete
10000,12,0x2b564248d8f4fd425f3d01a1c36817deaac159be:1;0xef8104c1f471c1995cb6f7276716e8b38dc1b9a7:1;0xd9fbb755d859c8026aba1b64f71ce97ab594644d:1;0x2771cc14865ca8aaa32e99a30a40c6632c1888a0:1,PARTIAL (4/12)
10001,9,0xef8104c1f471c1995cb6f7276716e8b38dc1b9a7:1;0x37e887ce9f6fd3c9a050332ff20ece27d0f0a8e4:1,PARTIAL (2/9)
10002,8,0x2067bed542762d26e2755ce7d8776728f3429f48:1;0x14cfd6b71163360b2a176ea167c2800b2deb8296:1,PARTIAL (2/8)
10003,6,0xc923dd451dfb1fc6a4608982c6c077414da06a4d:1;0xb80a3488bd3f1c5a2d6fce9b095707ec62172fb5:1,PARTIAL (2/6)
10004,6,0xc923dd451dfb1fc6a4608982c6c077414da06a4d:1;0x2000434e4af84b37c7b7b03b4de039dd1126599c:1;0x1f9c822097a6ede8def937356863e37a18b97278:1;0xe5a3f1e72d1dfa5c361516ac2779e9602106fea6:1,PARTIAL (4/6)
10005,5,0xc923dd451dfb1fc6a4608982c6c077414da06a4d:1;0xe5b314fa02f366b136685ef322a91586ef2364de:1,PARTIAL (2/5)
10006,5,0x81168c14e5a89f60b30e9a7f82a229406a64369d:1;0x38a7d735aca3c939f189a92f41cc1f34da2907d5:1,PARTIAL (2/5)
10007,5,0x0226068ce182ad66482ac08219d41e00eae74aa7:1,PARTIAL (1/5)
10008,7,0xed2c2cdec695be3a4dc421c1a8a6756dc5a927b6:1,PARTIAL (1/7)
10009,7,0x8659e3b0bd269b6e5b712acfb70caf579b25591b:1;0x36ab2c824fcc7e4ec8dc2805bda069d9d8b54c95:1;0xf22cfdd13bf9ab3d7d0e3d3b859fedd3ce08aa09:1;0xf963837cf127d561c8e0c4691ebd5c2e4828c5ee:1,PARTIAL (4/7)
10010,6,0x36ab2c824fcc7e4ec8dc2805bda069d9d8b54c95:1;0x27c27151f9bc6330b767bab8dcada11a253ccb8c:1,PARTIAL (2/6)
10011,5,0xa14964479ebf9cd336011ad80652b08cd83dfe3a:1,PARTIAL (1/5)
