v2_tier,current_holder,holder_type,units_received,units_held_now,status
10000,0x69ad4cbd248eb1839fe78c11f6a7a04b528ef8cd,first-hop recipient,4,0,ON-SOLD/MOVED
10000,0xa37e105acc179d8251845e929ea6b9be6a5e7ea2,first-hop recipient,2,2,HELD
10000,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,6,0,ON-SOLD/MOVED
10001,0x03a7c8b9fc330a8980b20adb0a80a2f7913efb19,first-hop recipient,1,2,HELD
10001,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,first-hop recipient,6,6,HELD
10001,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,2,0,ON-SOLD/MOVED
10002,0x69ad4cbd248eb1839fe78c11f6a7a04b528ef8cd,first-hop recipient,5,0,ON-SOLD/MOVED
10002,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,first-hop recipient,1,7,HELD
10002,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,1,0,ON-SOLD/MOVED
10002,0xd2ab77a10cab66433c167e9aa4cc3178fe133def,first-hop recipient,1,1,HELD
10003,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,first-hop recipient,5,5,HELD
10003,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,1,0,ON-SOLD/MOVED
10004,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,first-hop recipient,6,8,HELD
10005,0x69ad4cbd248eb1839fe78c11f6a7a04b528ef8cd,first-hop recipient,3,0,ON-SOLD/MOVED
10005,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,2,0,ON-SOLD/MOVED
10006,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,first-hop recipient,5,5,HELD
10007,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,first-hop recipient,4,12,HELD
10007,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,1,0,ON-SOLD/MOVED
10008,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,first-hop recipient,1,2,HELD
10008,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,6,0,ON-SOLD/MOVED
10009,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,first-hop recipient,1,1,HELD
10009,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,6,0,ON-SOLD/MOVED
10010,0x03a7c8b9fc330a8980b20adb0a80a2f7913efb19,first-hop recipient,1,2,HELD
10010,0x69ad4cbd248eb1839fe78c11f6a7a04b528ef8cd,first-hop recipient,4,0,ON-SOLD/MOVED
10010,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,1,0,ON-SOLD/MOVED
10011,0xa37e105acc179d8251845e929ea6b9be6a5e7ea2,first-hop recipient,2,2,HELD
10011,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,first-hop recipient,3,3,HELD
10012,0x03a7c8b9fc330a8980b20adb0a80a2f7913efb19,first-hop recipient,1,2,HELD
10012,0x69ad4cbd248eb1839fe78c11f6a7a04b528ef8cd,first-hop recipient,4,0,ON-SOLD/MOVED
10012,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,1,0,ON-SOLD/MOVED
10013,0x22f679716aaf45311cf6fc75478cced38c6be498,first-hop recipient,3,0,ON-SOLD/MOVED
10013,0xa37e105acc179d8251845e929ea6b9be6a5e7ea2,first-hop recipient,1,1,HELD
10013,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,first-hop recipient,1,3,HELD
10013,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,2,0,ON-SOLD/MOVED
10014,0x03a7c8b9fc330a8980b20adb0a80a2f7913efb19,first-hop recipient,1,1,HELD
10014,0x69ad4cbd248eb1839fe78c11f6a7a04b528ef8cd,first-hop recipient,2,0,ON-SOLD/MOVED
10014,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,1,0,ON-SOLD/MOVED
10015,0x69ad4cbd248eb1839fe78c11f6a7a04b528ef8cd,first-hop recipient,5,0,ON-SOLD/MOVED
10015,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,2,0,ON-SOLD/MOVED
10016,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,first-hop recipient,7,8,HELD
10016,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,1,0,ON-SOLD/MOVED
10017,0xa56d424ceb11d1f3c55e5cc0ab0911f2aa9926f2,first-hop recipient,8,10,HELD
10017,0xbe7498c9b9afb92f6b9f4a06cd0fbcb4d1542253,first-hop recipient,1,0,ON-SOLD/MOVED
10017,0xc4dd52892e4a18500379987a7800b5204d0d58e6,first-hop recipient,2,0,ON-SOLD/MOVED
10018,0x03a7c8b9fc330a8980b20adb0a80a2f7913efb19,first-hop recipient,1,2,HELD
