original_staker,v2_tier,units_owed
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10006,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10007,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10008,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10009,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10010,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10011,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10012,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10013,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10014,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10015,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10016,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10017,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10018,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10019,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10020,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10021,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10022,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10023,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10024,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10025,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10026,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10027,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10028,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10029,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10030,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,10031,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,20060,1
0x28aee851e7b65a46b71de302cffeeb2c557847c6,30010,1
0x57fcf904efc785e098676922d406e64a4e0e7ea2,10013,1
0x57fcf904efc785e098676922d406e64a4e0e7ea2,40000,20
0x57fcf904efc785e098676922d406e64a4e0e7ea2,60001,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,10011,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,10012,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,10013,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,10014,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,10015,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,10016,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,10017,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,10018,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,10019,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,10020,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,10021,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,10022,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,10023,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,30031,1
0xa14964479ebf9cd336011ad80652b08cd83dfe3a,30032,1
0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,10000,1
0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,10001,1
0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,10026,1
0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,10027,1
0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,10028,1
0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,10029,1
0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,10030,1
0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,10031,1
0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,10032,1
0x0eb96d5ec478b68ff0d48628ab4df6a63c21ddaa,10033,1
